Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5
ADRA2B	82.5089149386116	71.2194210820202	103.671309002718	67.08752285148	169.410280731784	15.7148744170764	116.931894294563	123.673975369632	29.7022268690438	11.1273308334796
ADRA2C	268.743322942906	386.00926226455	221.834306360654	75.0226061995046	253.015354339677	61.7370066385143	6.44506503985779	142.279794673028	49.5037114484063	496.093499659299
ADRB1	510.376573834555	121.073015839434	333.308832170028	23.0838788306168	943.857278362795	224.498205958234	261.485495902802	10.944599590233	386.128949297569	10.200053264023
ADRB2	1396.75806003221	1146.63267942053	2832.56770081619	295.762197517278	1433.38698567217	68.4719528172613	43.2740081247595	3.28337987706989	195.186062282288	38.9456579171786
ADRB3	5.89349392418654	14.243884216404	166.097043455967	0	47.3028705939396	1.12249102979117	8.28651219410288	0	0.707195877834376	0
ADRBK1	3750.61953335232	4011.07779533938	2544.96342422801	3435.89108969462	3016.38305043215	4753.7495111656	1499.85870713262	5880.53335983217	5339.32887764954	3107.30713524918
ADRBK2	6405.04919680594	3021.1278422993	30406.9064050229	2115.06039785526	18208.3049783928	1141.57337729762	2214.34020297971	534.096460003368	609.602846693232	1429.86201210213
ADSL	1770.40557482564	1690.74905648716	1936.31251330883	1961.40832938897	1834.91135234166	1367.19407428564	6551.86897480401	2387.01717062981	1686.66216863499	2486.95844128269
ADSS	2950.28305844778	3881.4584489701	1936.31251330883	3848.51542379189	2335.44172723102	2861.22963493769	4364.22975556085	6433.23563913893	6633.49733408645	6240.57804244314
AP2A1	4552.13470704169	3768.93176366051	5937.13324460726	3460.41771095215	5966.76209538439	8785.73729017548	2472.14280457403	14677.8025104614	6000.55702342468	5087.97202360855
AP2A2	6368.50953447598	3851.54629211565	5278.31879707386	4186.83852290312	5662.04360341877	4919.87818357469	2520.94115416152	5527.02279306764	3963.83289526168	4618.76957346349
AP1B1	6201.13430702908	5718.91951288622	4213.73707559433	10042.9300337452	5225.31710049333	6819.13300598135	4521.6734872488	17439.1249870772	5654.03104328584	11397.1686061915
AP2B1	15365.5173591392	14524.4887354672	17890.5466471464	26268.7327380285	16562.6051084269	28010.6411574088	10212.6659174432	15787.584908911	20159.3256935467	25741.2253281162
AP1G1	5964.21585127678	6203.21157624396	6779.88065972612	8244.55159859748	6341.88485986191	5145.49888056272	7550.85405598197	5209.62940495089	4153.36139052129	17303.9267236302
AEBP1	21035.0585142066	16541.42274051	12439.442335068	7212.99076335429	38370.328518991	52890.6548327301	4846.68890997306	58076.4232656122	32635.6753703008	83418.8174258882
AES	16126.9567741441	17755.0016757476	10274.60704385	13679.3623207808	15980.6697934456	9258.30601371756	18750.5356481006	19714.5072418866	19135.3060624425	6111.68646028867
CRISP1	0	0	0	0.721371213456775	1.1000667579986	0	0	0	1.41439175566875	0.927277569456634
AFG3L1	451.441634592689	695.101549760517	575.208553176369	527.322357036902	423.525701829459	295.215140835077	1143.5386827862	461.862102707831	352.890743039354	440.456845491901
AFP	7.07219270902385	128.194957947636	1.11474525809374	24.5266212575303	20.9012684019733	0	1.84144715424508	1.0944599590233	12.7295258010188	0
AGA	1007.7874610359	1175.12044785333	827.140981505555	2242.02173142366	1030.76255224468	537.67320326997	1966.66556073375	1189.67797545832	1467.43144650633	2122.53835648623
ACAN	36.5396623299566	84.0389168767839	89.1796206474991	15.1487954825923	16.5010013699789	69.5944438470525	118.773341448808	1138.23835738423	29.7022268690438	453.438731464294
AGER	64.828433166052	96.8584126715475	91.4091111636866	51.217356155431	66.0040054799158	16.8373654468675	185.065439001631	36.1171786477688	36.7741856473875	25.0364943753291
AGL	3173.05712878203	2629.42102634819	5234.8437320082	3254.10554390351	4500.37310697226	7873.15208295526	2189.48066639741	1791.63095292114	1678.17581810097	744.603888273677
AGRP	0	1.4243884216404	0	0	0	0	0	4.37783983609318	2.12158763350313	0
JAG1	6339.04206485505	6574.97695429211	8261.3771077327	3718.66860536967	8623.42331595099	1914.96969682373	11467.6121530613	4824.37949937469	4182.3564215125	3391.05407150291
AGT	476.194309074273	307.667899074327	1032.2541089948	406.853364389621	341.020694979565	1018.09936402059	19.3351951195734	97.4069363530733	814.689651265201	161.346297085454
AGTR1	1562.95458869427	766.320970842538	6523.48925036456	329.666644549746	4032.84473482285	138.066396664314	100.358869906357	26.2670390165591	115.272928087003	441.384123061358
AGTR2	2.35739756967462	1.4243884216404	0	12.9846818422219	0	0	0	0	4.95037114484063	0
APLNR	3474.80401770039	4817.28164198785	2211.65459205798	654.283690605295	3927.23832605499	1244.84255203841	1942.72674772856	936.857724923941	2961.73633637037	665.785294869863
AGXT	7.07219270902385	12.8194957947636	45.7045555818433	0.721371213456775	40.7024700459481	0	0	0	0	1.85455513891327
NR0B1	9.42959027869847	15.6682726380444	1.11474525809374	12.2633106287652	16.5010013699789	0	24.8595365823086	0	0.707195877834376	0
AHCY	3604.46088403249	4674.84279982381	4054.32850368693	9281.16203233486	4373.86542980242	6172.57817282164	17235.0246401569	14733.6199683716	13734.4511434214	5783.43020070102
AHR	10825.1696399458	9145.99805535304	6860.14231830887	6104.96457948468	5611.44053255084	4897.42836297887	6901.74393411058	3726.63616047432	6734.62634461676	4930.33483680092
AHSG	1.17869878483731	0	0	0	0	0	0.920723577122542	0	0.707195877834376	0
AIF1	2287.85434136922	1542.61266063656	1006.61496805865	438.593697781719	1145.16949507654	556.75555077642	326.856869878502	218.891991804659	1455.40911658315	822.495204108034
AIM1	7211.27916563465	5166.25680528975	10088.4445857483	11028.3231113272	3932.73865984498	3480.84468338241	13665.3793316528	5123.16706818805	1548.75897245728	8316.75252045655
AK1	1821.08962257364	1421.53964479712	1813.69053491851	1135.43828998096	2124.22890969529	648.799815219296	454.837447098536	1840.88165107718	1389.63989994455	1329.71603460081
AK2	4536.8116228388	5143.4665905435	7166.69726428465	4653.56569800965	6201.07631483809	4370.98007000681	19546.9615423116	8707.52343398934	6167.45525059359	5102.80846471985
AK3L1	1422.68943329863	791.959962432065	3913.87060116712	1506.9444649112	2871.17423837634	152.658780051599	4014.35479625428	1711.73537591243	629.404331272595	2022.39237898492
AKT1	8006.90084539984	7503.67820520165	7178.95946212368	8337.6084851334	8358.30722727333	7879.887029134	10039.5698849442	13136.8028881566	10854.042333002	16359.0308803539
AKT2	9414.26719449558	5283.05665586426	14185.1334092428	5155.64006257557	12424.1539648361	9102.27976057659	3622.12655240008	15813.8519479276	5296.18992910164	3143.47096045799
ALAD	8810.77341665888	3404.28832772057	6404.21150774853	3717.22586294276	8205.39794791153	2233.75714928443	640.823609677289	1579.30572087062	5233.24949597438	3434.63611726737
ALAS1	3431.19216266141	3167.83984972826	3537.08670393143	1980.8853521523	2809.57049992841	1890.27489416833	2006.25667455002	4132.68080527196	2633.59744905522	3155.52556886092
ALAS2	28.2887708360954	2.84877684328081	74.6879322922805	7.93508334802452	0	1.12249102979117	0	0	0.707195877834376	0
ALB	124.942071192755	230.750924305746	16.7211788714061	1310.0101236375	314.619092787599	178.476073736796	15.6523008110832	6.56675975413977	111.029752819997	19.4728289585893
ALCAM	4009.93326601652	11288.2782415002	535.077723884995	25938.3447222652	3047.18491965611	8722.87779250717	2860.68815411974	3031.65408649453	15896.3489419611	11457.4416482062
ABCD1	1409.72374666542	552.662707596477	1767.98597933667	900.271274394055	2017.52243416943	1061.87651418245	1095.66105677583	1377.92508841033	750.334826382273	1801.70031745424
ALDH1A1	13286.2927026861	8557.72563721555	12847.4390995303	1535.07794223602	12506.658971686	1095.55124507618	676.731829185068	54.7229979511648	1923.5727877095	1453.04395133854
ALDH2	49163.5263155641	15364.877904235	69401.8102784	2210.28139803156	92421.0086064941	7262.51696274886	1075.40513807913	1136.04943746618	5329.42813535986	4518.62359596218
ALDH3A1	48.3266501783297	59.824313708897	4.45898103237496	313.796477853697	30.8018692239607	0	11.969406502593	25.1725790575358	23.3374639685344	0
ALDH1B1	1557.06109477008	1635.19790804318	2164.83529121804	927.683380505412	2206.73391654518	2997.05104954242	1672.03401605454	4004.62899006624	2465.99202600847	3555.18220129673
ALDH1A3	7376.29699551188	4501.06741238368	1305.36669722777	5734.1797757679	2657.76128732461	667.882162725745	1672.95473963166	1642.78439849397	2272.92755135968	1007.0234404299
ALDH3B1	1001.89396711171	675.160111857552	486.02893252887	384.490856772461	572.03471415927	534.305730180596	83.7858455181513	413.705864510806	390.372124564576	1876.80980058023
ALDH3B2	414.901972262733	14389.1718354114	2.22949051618748	56820.9677415632	1134.16882749655	1969.9717572835	1355.30510552438	1319.91871058209	2023.99460236198	9364.57617394254
ALDH9A1	9489.70391672517	8928.06662684206	24843.2128218771	7231.02504369071	19167.5631913675	10175.3811850569	10183.2027629753	2765.70031645187	7701.36310961635	8947.30126768706
ALDH3A2	11403.910743301	5901.2412308562	12508.5565410698	5237.87638090964	13297.606970687	5988.48964393588	4575.99617829903	2331.19971271962	3846.43837954117	5574.79274757328
ABCD2	1469.83738469212	397.404369637673	9070.68216510876	25.9693636844439	4013.04353317888	57.2470425193496	46.9569024332497	8.75567967218637	33.2382062582157	25.0364943753291
ALDOA	33938.2741118206	35331.9547987902	41644.6533518659	52548.2860442588	39132.6747822841	124012.808971328	44232.481368544	86163.549194027	51420.9194732153	247509.856116934
ALDOB	102.546794280846	8.54633052984243	31.2128672266247	3.60685606728387	46.202803835941	21.3273295660322	9.20723577122542	2.18891991804659	3.53597938917188	2.7818327083699
ALDOC	3030.43457581672	3119.41064339249	12198.6573593198	1057.53019892763	8384.7088294653	880.032967356276	329.61904060987	3185.97294071681	311.166186247125	5420.86467104348
AKR1B1	2931.42387789039	2296.11413568433	2711.06046768397	2751.30980812414	2916.27697545428	1188.71800054885	6747.06237315399	2298.36591394892	1997.12115900428	1571.73548022899
ALK	16.5017829877223	8.54633052984243	166.097043455967	121.911735074195	39.6024032879495	5.61245514895584	3.68289430849017	55.8174579101881	7.07195877834376	1.85455513891327
ALOX12	2.35739756967462	4.27316526492121	21.180159903781	3.60685606728387	9.90060082198736	4.48996411916467	33.1460487764115	25.1725790575358	2.12158763350313	1.85455513891327
ALOX5	1244.7059167882	1348.89583529346	293.178002878653	644.905864830357	748.045395439045	671.249635815119	223.735829240778	459.673182789784	792.766579052335	808.586040566185
ALOX5AP	1686.71796110219	846.0867224544	811.534547892242	372.948917357153	1069.26488877464	450.118902946259	209.92497558394	513.301720781926	1467.43144650633	995.896109596424
ALOX12B	0	0	0	5.04959849419742	1.1000667579986	3.36747308937351	57.0848617815976	5.47229979511648	0	10.200053264023
ANXA8L2	327.678262184772	209.385097981139	8.91796206474991	95.2210001762943	138.608411507823	34.7972219235262	85.6272926723964	259.387010288521	172.555794191588	51.0002663201148
ALOX15	100.189396711171	55.5511484439758	0	2562.31055019846	50.6030708679354	120.106540187655	6.44506503985779	21.8891991804659	10.6079381675156	7.41822055565307
