id	Normal	Tumor
CA4	1405.19072434052	2.14090699176586
MMP13	2.82034526713097	807.956091671241
ATP1A2	10067.1652784904	32.1406463593806
HBB	14748.5838604405	92.2014965804942
ATOH8	1358.73453887156	53.0928752366546
SCN3A	332.666448928975	31.2678683861908
ABCA5	2409.4315629656	652.498458666974
ADAMTS14	15.7257309594868	292.930742860899
GJB2	70.2169824945897	4582.16112671135
SOD3	6807.02396383263	315.609217345914
FGF2	6126.3006269819	326.743826623082
COL10A1	66.2347169592998	8686.1705064622
BTNL9	9685.6232795033	128.642922412965
MMP11	214.894749023363	18710.7301727328
HSD17B6	22.6798007554636	288.373803553845
CES1	11188.0346105199	374.896214803406
COL11A1	22.7821540049795	18541.8405110436
HBA2	9273.05528322277	98.8160190816946
AKR1C2	13951.3833313162	324.438690560035
FHL1	92085.1111338563	1550.34430175605
SDPR	8187.57646139141	340.417644720035
CFD	21001.8534723772	292.587553521721
HSD17B13	999.424884007304	7.20688950796378
LEP	26638.6729955583	45.7789392872444
FAM107A	4637.36946296251	225.148582544553
MYOC	1808.45561925782	3.5145774710512
LYVE1	9659.77415278471	119.427251892839
ITIH5	26900.6079749991	882.995776925782
SCN4A	1911.44538312951	30.6950491195595
AQPEP	2575.80390774987	8.51731396518278
ADAMTS5	6824.51967525157	793.672665462207
CPA1	177.782093638751	0.408642921382742
MAP1LC3C	582.175186456606	11.4372382697571
MLXIPL	3448.35220759524	47.3623169260926
LIPE	43972.0352043088	364.711932706836
MYH1	331.024411403325	2.34795398736734
AQP7	11236.0516773015	38.5153120976785
ST6GALNAC1	249.875036274482	14.5851960157018
ABCA10	1154.71505859144	43.4264797513549
CIDEC	31089.4076700474	66.8185917024471
HEPACAM	1273.71284497755	2.67635573425469
CST1	0.820040702858255	877.262049295577
ACSM5	1855.510733213	24.0691705577662
FMO2	16782.163632577	434.420680792363
ITGA7	14420.4257792797	428.848909515019
KIAA1199	29.9467281438792	1751.5510259625
GCOM1	5521.95977830361	245.881439345331
SLC2A4	4727.90067588886	29.6672449816251
ZNF469	361.816542789755	1755.33807100814
PTPRN	2.04923865226186	212.167508603007
LEPR	6891.00102212598	515.035966824562
RBP4	22443.4091414411	88.4231966870535
PCK1	11852.6533495667	22.8391691210272
SLC4A4	1887.92152704767	37.2926987522988
MYOM1	2181.61716202033	63.3308107544908
G0S2	16768.0506523962	188.836809249494
NTRK2	22728.1327749223	1498.82959270069
C14orf180	2306.63637933194	6.05182798421705
CD36	173449.026138702	2221.32907990099
AOX1	4210.20238658683	227.707568556471
PLIN4	182588.276966298	745.150155377657
TIMP4	12787.3677561446	60.4463340186279
FHL5	635.801394473124	49.7366093788825
NPR1	8557.96034608973	340.981198862569
CRHBP	587.765175664671	6.84537801252758
MYOCD	193.280059562915	8.43253379921544
ENPP2	14604.3212705227	1187.65229307983
PPARG	10200.7158360503	292.884545565237
GPLD1	468.991490884256	21.6195485902268
PDE2A	5194.04563699446	294.901901287156
MAPK8IP2	143.139570481561	3133.17612671117
SORBS1	57759.1046946147	2180.50356039532
ROBO3	478.962946762933	114.731466066081
C14orf139	4040.14082446159	154.209880743304
TNXB	35155.1187237484	848.167259671456
MAZ	4244.94041697177	14452.2341776995
KCNB1	763.55479126634	21.3011512594655
KCNIP2	18363.8923652121	121.469766109937
KLB	4802.46021277547	40.4550596319707
AOC3	62593.5478121478	1644.50484444402
PLIN1	117012.326768391	460.089107135108
APLP1	53.7606995741888	868.755349049451
PPP1R12B	9421.54008737077	2347.7429099774
MFAP2	439.218526150308	3159.95956195126
CD300LG	7085.78322289395	48.2033564823376
GRM4	3.80552291705078	91.0696735377318
ASPA	647.705800973078	14.7985472050216
PDE8B	1327.28067837853	66.2070805229737
C12orf39	1083.77048897619	0.468333865025077
GPR146	3157.61929605182	154.100350207157
EPB42	220.596644822797	0.776932352231759
APOB	1559.63198977894	12.7286032689088
ALDH1L1	6277.8558219466	61.3816831352023
AKR1C3	7692.40561968289	873.048195666341
ADH1A	2254.04393654152	5.81308230449358
GPD1	67743.6308544912	228.74666853425
CLEC3B	9054.5657680388	251.890599181797
HSPB6	33686.7212243255	778.155643168401
ACVR1C	13800.9823558913	93.4438374702059
FRMD1	408.162025893404	2.89357390730623
ALG1L	10.4310730651761	170.940557498797
INHBA	88.8635408917881	1882.0548947291
CIDEA	9590.35583557867	21.5113123204571
TGFBR2	35930.6590407793	4959.32320844905
PPP1R1A	14506.4419161426	229.522245122558
TNNT1	6.63592702888291	1405.00337555975
ANO3	730.376635410667	7.60951993295062
RPLP0P2	21.8780853957601	289.134934863486
GPAM	66571.6372742648	1308.8912056356
DPP6	163.538710756341	4.83652501881606
MAOA	23501.8677111615	603.853407065698
ABCD2	2995.38736326038	34.2468650516661
ZNF676	140.775555283923	11.8024195840182
NAALAD2	844.1241473615	35.74657358407
CKMT2	604.333362468804	26.8396559356685
PCDH9	1099.12825071418	37.9326415065186
TMEM145	3.16267946969056	111.412333045604
GRIN2D	34.3489639824892	291.311306085879
USP53	5781.80557209484	1434.63919050086
RDH5	4832.45208699378	90.2545245841148
CABLES2	317.040707374752	1749.88926797806
TMEM132C	6063.57983760892	50.5824189005426
NMUR1	553.667790815902	16.7426360933366
LIFR	14724.9995202282	2088.70483271936
PKHD1L1	205.707797641668	9.1473267919067
PAMR1	3014.85448739596	265.250896478403
SLC14A2	171.721585355606	5.61865013667694
TGFBR3	18336.0635901293	1141.02908862867
SEMA3G	15139.1171470438	558.128559149744
MYBL2	100.682252302006	5851.60844555971
PYGM	1177.17439028047	17.646504519559
